구분,품목구분,상품코드,상품명,내포입
상품,트리플콜라겐,PD2202220001,트리플콜라겐 오렌지,14
상품,트리플콜라겐,PD23111500001,트리플콜라겐 오렌지1,
상품,트리플콜라겐,PD24010400001,트리플콜라겐 오렌지2,
상품,트리플콜라겐,PD22101400001,트리플콜라겐 오렌지 체험키트,3
상품,트리플콜라겐,PD24070900001,트리플콜라겐 오렌지 7개입,7
상품,트리플콜라겐,PD24022300001,(시음) 트리플콜라겐 오렌지,
상품,트리플콜라겐,PD26021100001,트리플콜라겐 체험키트(1포),1
상품,트리플콜라겐,PD25121600001,올리브영_트리플콜라겐 오렌지(소비기한),
상품,트리플콜라겐,PD2203110001,트리플콜라겐 오렌지(미국용),14
상품,트리플콜라겐,PD25021300001,트리플콜라겐 오렌지(JP),
상품,트리플콜라겐,PD25021900001,트리플콜라겐 오렌지 7개입(JP),
상품,트리플콜라겐,PD26070600001,트리플콜라겐 오렌지(컬리용),100
상품,트로피컬,PD26062200001,트리플콜라겐 트로피컬,14
상품,트리플샤인,PD23112300005,트리플샤인 포도,14
상품,트리플샤인,PD24112100001,트리플샤인 포도2 ,
상품,트리플샤인,PD23112800001,트리플샤인 포도 체험키트,3
상품,트리플샤인,PD24050300001,트리플샤인 포도 선물세트(6개입),
상품,트리플샤인,PD24080100001,트리플샤인 포도 7개입,
상품,트리플샤인,PD26021100002,트리플샤인 체험키트(1포),1
상품,트리플샤인,PD24080100002,트리플샤인 포도(미국용),14
상품,트리플샤인,PD25021300002,트리플샤인 포도(JP),14
상품,트리플샤인,PD25021900002,트리플샤인 포도 7개입(JP),7
상품,케라그로우,PD25100100001,케라그로우 망고,14
상품,케라그로우,PD25102800002,케라그로우 망고 체험키트(1포),1
상품,케라그로우,PD25121600002,올리브영_케라그로우 망고(소비기한),
상품,기획세트,PD24041900001,감사의달 선물세트(2개입),
상품,기획세트,PD24012300001,소창보자기세트,
상품,기획세트,PD24082300001,(24추석) 트리플콜라겐 2개입 선물세트,
상품,기획세트,PD24082300002,(24추석) 트리플콜라겐 6개입 선물세트,
상품,기획세트,PD24082300003,(24추석) 트리플샤인 2개입 선물세트,
상품,기획세트,PD24082300004,(24추석) 트리플샤인 6개입 선물세트,
상품,기획세트,PD24082300005,(24추석) 스킨시너지 2개입 선물세트,
상품,기획세트,PD24082300006,(24추석) 스킨시너지 6개입 선물세트,
상품,기획세트,PD24121700006,(25설)트리플콜라겐 2개입 선물세트,
상품,기획세트,PD24121700007,(25설)트리플샤인 2개입 선물세트,
상품,기획세트,PD24121700008,(25설)스킨시너지 2개입 선물세트,
상품,기획세트,PD24091300001,"트리플콜라겐 2개입(단상자,소비기한)",
상품,기획세트,PD25101500001,"트리플콜라겐 4개입(단상자,소비기한)",
상품,기획세트,PD24091300002,"트리플콜라겐 6개입(단상자,소비기한)",
상품,기획세트,PD26040300005,"트리플콜라겐 8개입(단상자,소비기한)",
